DEPARTAMENTO,MUNICIPIO
Cundinamarca,Gachetá
Cundinamarca,Girardot
Cundinamarca,Granada
Cundinamarca,Guachetá
Cundinamarca,Guaduas
Cundinamarca,Guasca
Cundinamarca,Guataquí
Cundinamarca,Guatavita
Cundinamarca,Guayabetal
Cundinamarca,Gutiérrez
Cundinamarca,Jerusalén
Cundinamarca,Junín
Cundinamarca,La Calera
Cundinamarca,La Mesa
Cundinamarca,La Palma
Cundinamarca,La Peña
Cundinamarca,La Vega
Cundinamarca,Lenguazaque
Cundinamarca,Macheta
Cundinamarca,Madrid
Cundinamarca,Manta
Cundinamarca,Medina
Cundinamarca,Mosquera
Cundinamarca,Nariño
Cundinamarca,Nemocón
Cundinamarca,Nilo
Cundinamarca,Nimaima
Cundinamarca,Nocaima
Cundinamarca,Venecia
Cundinamarca,Pacho
Cundinamarca,Paime
Cundinamarca,Pandi
Cundinamarca,Paratebueno
Cundinamarca,Pasca
Cundinamarca,Puerto Salgar
Cundinamarca,Pulí
Cundinamarca,Quebradanegra
Cundinamarca,Quetame
Cundinamarca,Quipile
Cundinamarca,Apulo
Cundinamarca,Ricaurte
Cundinamarca,San Bernardo
Cundinamarca,San Cayetano
Cundinamarca,San Francisco
Cundinamarca,Sesquilé
Cundinamarca,Sibaté
Cundinamarca,Silvania
Cundinamarca,Simijaca
Cundinamarca,Soacha
Cundinamarca,Subachoque
Cundinamarca,Suesca
Cundinamarca,Supatá
Cundinamarca,Susa
Cundinamarca,Sutatausa
Cundinamarca,Tabio
Cundinamarca,Tausa
Cundinamarca,Tena
Cundinamarca,Tenjo
Cundinamarca,Tibacuy
Cundinamarca,Tibirita
Cundinamarca,Tocaima
Cundinamarca,Tocancipá
Cundinamarca,Topaipí
Cundinamarca,Ubalá
Cundinamarca,Ubaque
Cundinamarca,Une
Cundinamarca,Útica
Cundinamarca,Vianí
Cundinamarca,Villagómez
Cundinamarca,Villapinzón
Cundinamarca,Villeta
Cundinamarca,Viotá
Cundinamarca,Zipacón
Choco,Quibdó
Choco,Acandí
Choco,Alto Baudo
Choco,Atrato
Choco,Bagadó
Choco,Bahía Solano
Choco,Bajo Baudó
Choco,Bojaya
Choco,Cértegui
Choco,Condoto
Choco,Juradó
Choco,Lloró
Choco,Medio Atrato
Choco,Medio Baudó
Choco,Medio San Juan
Choco,Nóvita
Choco,Nuquí
Choco,Río Iro
Choco,Río Quito
Choco,Riosucio
Choco,Sipí
Choco,Unguía
Huila,Neiva
Huila,Acevedo
Huila,Agrado
Huila,Aipe
Huila,Algeciras
Huila,Altamira
Huila,Baraya
Huila,Campoalegre
Huila,Colombia
Huila,Elías
Huila,Garzón
Huila,Gigante
Huila,Guadalupe
Huila,Hobo
Huila,Iquira
Huila,Isnos
Huila,La Argentina
Huila,La Plata
Huila,Nátaga
Huila,Oporapa
Huila,Paicol
Huila,Palermo
Huila,Palestina
Huila,Pital
Huila,Pitalito
Huila,Rivera
Huila,Saladoblanco
Huila,Santa María
Huila,Suaza
Huila,Tarqui
Huila,Tesalia
Huila,Tello
Huila,Teruel
Huila,Timaná
Huila,Villavieja
Huila,Yaguará
La guajira,Riohacha
La guajira,Albania
La guajira,Barrancas
La guajira,Dibula
La guajira,Distracción
La guajira,El Molino
La guajira,Fonseca
La guajira,Hatonuevo
La guajira,Maicao
La guajira,Manaure
La guajira,Uribia
La guajira,Urumita
La guajira,Villanueva
Magdalena,Santa Marta
Magdalena,Algarrobo
Magdalena,Aracataca
Magdalena,Ariguaní
Magdalena,Cerro San Antonio
Magdalena,Chivolo
Magdalena,Concordia
Magdalena,El Banco
Magdalena,El Piñon
Magdalena,El Retén
Magdalena,Fundación
Magdalena,Guamal
Magdalena,Nueva Granada
Magdalena,Pedraza
Magdalena,Pivijay
Magdalena,Plato
Magdalena,Remolino
Magdalena,Salamina
Magdalena,San Zenón
Magdalena,Santa Ana
Magdalena,Sitionuevo
Magdalena,Tenerife
Magdalena,Zapayán
Magdalena,Zona Bananera
Meta,Villavicencio
Meta,Acacias
Meta,Cabuyaro
Meta,Cubarral
Meta,Cumaral
Meta,El Calvario
Meta,El Castillo
Meta,El Dorado
Meta,Granada
Meta,Guamal
Meta,Mapiripán
Meta,Mesetas
Meta,La Macarena
Meta,Lejanías
Meta,Puerto Concordia
Meta,Puerto Gaitán
Meta,Puerto López
Meta,Puerto Lleras
Meta,Puerto Rico
Meta,Restrepo
Meta,San Juanito
Meta,San Martín
Meta,Vista Hermosa
Nariño,Pasto
Nariño,Albán
Nariño,Aldana
Nariño,Ancuyá
Nariño,Barbacoas
Nariño,Colón
Nariño,Consaca
Nariño,Contadero
Nariño,Cordoba
Nariño,Cuaspud
Nariño,Cumbal
Nariño,Cumbitara
Nariño,El Charco
Nariño,El Peñol
Nariño,El Rosario
Nariño,El Tambo
Nariño,Funes
Nariño,Guachucal
Nariño,Guaitarilla
Nariño,Gualmatán
Nariño,Iles
Nariño,Imués
Nariño,Ipiales
Nariño,La Cruz
Nariño,La Florida
Nariño,La Llanada
Nariño,La Tola
Nariño,La Unión
Nariño,Leiva
Nariño,Linares
Nariño,Los Andes
Nariño,Magüí
Nariño,Mallama
Nariño,Mosquera
Nariño,Nariño
Nariño,Olaya Herrera
Nariño,Ospina
Nariño,Francisco Pizarro
Nariño,Policarpa
Nariño,Potosí
Nariño,Providencia
Nariño,Puerres
Nariño,Pupiales
Nariño,Ricaurte
Nariño,Roberto Payán
Nariño,Samaniego
Nariño,Sandoná
Nariño,San Bernardo
Nariño,San Lorenzo
Nariño,San Pablo
Nariño,Santa Bárbara
Nariño,Sapuyes
Nariño,Taminango
Nariño,Tangua
Nariño,Túquerres
Nariño,Yacuanquer
Quindio,Armenia
Quindio,Buenavista
Quindio,Circasia
Quindio,Cordoba
Quindio,Filandia
Quindio,La Tebaida
Quindio,Montenegro
Quindio,Pijao
Quindio,Quimbaya
Quindio,Salento
Risaralda,Pereira
Risaralda,Apía
Risaralda,Balboa
Risaralda,Dosquebradas
Risaralda,Guática
Risaralda,La Celia
Risaralda,La Virginia
Risaralda,Marsella
Risaralda,Mistrató
Risaralda,Pueblo Rico
Risaralda,Quinchía
Risaralda,Santuario
Santander,Bucaramanga
Santander,Aguada
Santander,Albania
Santander,Aratoca
Santander,Barbosa
Santander,Barichara
Santander,Barrancabermeja
Santander,Betulia
Santander,Bolivar
Santander,Cabrera
Santander,California
Santander,Carcasí
Santander,Cepitá
Santander,Cerrito
Santander,Charalá
Santander,Charta
Santander,Chipatá
Santander,Cimitarra
Santander,Concepción
Santander,Confines
Santander,Contratación
Santander,Coromoro
Santander,Curití
Santander,El Guacamayo
Santander,El Playón
Santander,Encino
Santander,Enciso
Santander,Florián
Santander,Floridablanca
Santander,Galán
Santander,Gambita
Santander,Girón
Santander,Guaca
Santander,Guadalupe
Santander,Guapotá
Santander,Guavatá
Santander,Güepsa
Santander,Jesús María
Santander,Jordán
Santander,La Belleza
Santander,Landázuri
Santander,La Paz
Santander,Lebríja
Santander,Los Santos
Santander,Macaravita
Santander,Málaga
Santander,Matanza
Santander,Mogotes
Santander,Molagavita
Santander,Ocamonte
Santander,Oiba
Santander,Onzaga
Santander,Palmar
Santander,Páramo
Santander,Piedecuesta
Santander,Pinchote
Santander,Puente Nacional
Santander,Rionegro
Santander,San Andrés
Santander,San Gil
Santander,San Joaquín
Santander,San Miguel
Santander,Santa Bárbara
Santander,Simacota
Santander,Socorro
Santander,Suaita
Santander,Sucre
Santander,Suratá
Santander,Tona
Santander,Vélez
Santander,Vetas
Santander,Villanueva
Santander,Zapatoca
Sucre,Sincelejo
Sucre,Buenavista
Sucre,Caimito
Sucre,Coloso
Sucre,Coveñas
Sucre,Chalán
Sucre,El Roble
Sucre,Galeras
Sucre,Guaranda
Sucre,La Unión
Sucre,Los Palmitos
Sucre,Majagual
Sucre,Morroa
Sucre,Ovejas
Sucre,Palmito
Sucre,San Benito Abad
Sucre,San Marcos
Sucre,San Onofre
Sucre,San Pedro
Sucre,Sucre
Sucre,Tolú Viejo
Tolima,Alpujarra
Tolima,Alvarado
Tolima,Ambalema
Tolima,Armero
Tolima,Ataco
Tolima,Cajamarca
Tolima,Chaparral
Tolima,Coello
Tolima,Coyaima
Tolima,Cunday
Tolima,Dolores
Tolima,Espinal
Tolima,Falan
Tolima,Flandes
Tolima,Fresno
Tolima,Guamo
Tolima,Herveo
Tolima,Honda
Tolima,Icononzo
Tolima,Mariquita
Tolima,Melgar
Tolima,Murillo
Tolima,Natagaima
Tolima,Ortega
Tolima,Palocabildo
Tolima,Piedras
Tolima,Planadas
Tolima,Prado
Tolima,Purificación
Tolima,Rio Blanco
Tolima,Roncesvalles
Tolima,Rovira
Tolima,Saldaña
Tolima,Santa Isabel
Tolima,Venadillo
Tolima,Villahermosa
Tolima,Villarrica
Arauca,Arauquita
Arauca,Cravo Norte
Arauca,Fortul
Arauca,Puerto Rondón
Arauca,Saravena
Arauca,Tame
Arauca,Arauca
Casanare,Yopal
Casanare,Aguazul
Casanare,Chámeza
Casanare,Hato Corozal
Casanare,La Salina
Casanare,Monterrey
Casanare,Pore
Casanare,Recetor
Casanare,Sabanalarga
Casanare,Sácama
Casanare,Tauramena
Casanare,Trinidad
Casanare,Villanueva
Putumayo,Mocoa
Putumayo,Colón
Putumayo,Orito
Putumayo,Puerto Caicedo
Putumayo,Puerto Guzmán
Putumayo,Leguízamo
Putumayo,Sibundoy
Putumayo,San Francisco
Putumayo,San Miguel
Putumayo,Santiago
Amazonas,Leticia
Amazonas,El Encanto
Amazonas,La Chorrera
Amazonas,La Pedrera
Amazonas,La Victoria
Amazonas,Puerto Arica
Amazonas,Puerto Nariño
Amazonas,Puerto Santander
Amazonas,Tarapacá
Guainia,Inírida
Guainia,Barranco Minas
Guainia,Mapiripana
Guainia,San Felipe
Guainia,Puerto Colombia
Guainia,La Guadalupe
Guainia,Cacahual
Guainia,Pana Pana
Vaupes,Mitú
Vaupes,Carurú
Vaupes,Taraira
Vaupes,Papunahua
Vaupes,Yavaraté
Vaupes,Pacoa
Guainia,Morichal
Vichada,Puerto Carreño
Vichada,La Primavera
Vichada,Santa Rosalía
Vichada,Cumaribo
Caqueta,San José del Fragua
Meta,Barranca de Upía
Santander,Palmas del Socorro
Cundinamarca,San Juan de Río Seco
Atlantico,Juan de Acosta
Meta,Fuente de Oro
Casanare,San Luis de Gaceno
Choco,El Litoral del San Juan
Cundinamarca,Villa de San Diego de Ubate
Bolivar,Barranco de Loba
Boyaca,Togüí
Bolivar,Santa Rosa del Sur
Choco,El Cantón del San Pablo
Boyaca,Villa de Leyva
Magdalena,San Sebastián de Buenavista
Boyaca,Paz de Río
Bolivar,Hatillo de Loba
Magdalena,Sabanas de San Angel
Guaviare,Calamar
Cesar,Río de Oro
Antioquia,San Pedro de Uraba
Guaviare,San José del Guaviare
Boyaca,Santa Rosa de Viterbo
Cauca,Santander de Quilichao
Guaviare,Miraflores
Antioquia,Santafé de Antioquia
Meta,San Carlos de Guaroa
Atlantico,Palmar de Varela
Antioquia,Santa Rosa de Osos
Antioquia,San Andrés de Cuerquía
Tolima,Valle de San Juan
Santander,San Vicente de Chucurí
Santander,San José de Miranda
"Archipiélago de San Andrés, Providencia y Santa Catalina",Providencia
Risaralda,Santa Rosa de Cabal
Cundinamarca,Guayabal de Siquima
Caqueta,Belén de Los Andaquies
Casanare,Paz de Ariporo
Santander,Santa Helena del Opón
Boyaca,San Pablo de Borbur
La guajira,La Jagua del Pilar
Cesar,La Jagua de Ibirico
Sucre,San Luis de Sincé
Boyaca,San Luis de Gaceno
Bolivar,El Carmen de Bolivar
Choco,El Carmen de Atrato
Sucre,San Juan de Betulia
Magdalena,Pijiño del Carmen
Antioquia,Vigía del Fuerte
Bolivar,San Martín de Loba
Bolivar,Altos del Rosario
Tolima,Carmen de Apicala
Cundinamarca,San Antonio del Tequendama
Santander,Sabana de Torres
Guaviare,El Retorno
Cordoba,San José de Uré
Nariño,San Pedro de Cartago
Atlantico,Campo de La Cruz
Meta,San Juan de Arama
Antioquia,San José de La Montaña
Caqueta,Cartagena del Chairá
Choco,San José del Palmar
Cundinamarca,Agua de Dios
Bolivar,San Jacinto del Cauca
Huila,San Agustín
Nariño,El Tablón de Gómez
"Archipiélago de San Andrés, Providencia y Santa Catalina",San Andrés
Boyaca,San José de Pare
Putumayo,Valle de Guamez
Bolivar,San Pablo de Borbur
Sucre,Santiago de Tolú
Bogotá D.C.,Bogotá D.C.
Bogotá D.C.,Bogotá
Cundinamarca,Carmen de Carupa
Cordoba,Ciénaga de Oro
Antioquia,San Juan de Urabá
La guajira,San Juan del Cesar
Santander,El Carmen de Chucurí
Antioquia,El Carmen de Viboral
Risaralda,Belén de Umbría
Choco,Belén de Bajira
Santander,Valle de San José
Tolima,San Luis
Boyaca,San Miguel de Sema
Tolima,San Antonio
Santander,San Benito
Cundinamarca,Vergara
Cordoba,San Carlos
Amazonas,Puerto Alegría
Santander,Hato
Bolivar,San Jacinto
Cauca,San Sebastián
Antioquia,San Carlos
Boyaca,Tuta
Norte de santander,Silos
Norte de santander,Cácota
Valle del cauca,El Dovio
Norte de santander,Toledo
Valle del cauca,Roldanillo
Norte de santander,Mutiscua
Valle del cauca,Argelia
Norte de santander,El Zulia
Norte de santander,Salazar
Valle del cauca,Sevilla
Valle del cauca,Zarzal
Norte de santander,Cucutilla
Valle del cauca,El Cerrito
Valle del cauca,Cartago
Valle del cauca,Caicedonia
Norte de santander,Puerto Santander
Norte de santander,Gramalote
Valle del cauca,El Cairo
Norte de santander,El Tarra
Valle del cauca,La Unión
Valle del cauca,Restrepo
Norte de santander,Teorama
Valle del cauca,Dagua
Norte de santander,Arboledas
Valle del cauca,Guacarí
Norte de santander,Lourdes
Valle del cauca,Ansermanuevo
Norte de santander,Bochalema
Valle del cauca,Bugalagrande
Norte de santander,Convención
Norte de santander,Hacarí
Valle del cauca,La Victoria
Norte de santander,Herrán
Valle del cauca,Ginebra
Valle del cauca,Yumbo
Valle del cauca,Obando
Norte de santander,Tibú
Norte de santander,San Cayetano
Norte de santander,San Calixto
Valle del cauca,Bolivar
Norte de santander,La Playa
Valle del cauca,Cali
Valle del cauca,San Pedro
Valle del cauca,Guadalajara de Buga
Norte de santander,Chinácota
Norte de santander,Ragonvalia
Norte de santander,La Esperanza
Norte de santander,Villa del Rosario
Norte de santander,Chitagá
Valle del cauca,Calima
Norte de santander,Sardinata
Valle del cauca,Andalucía
Valle del cauca,Pradera
Norte de santander,Abrego
Norte de santander,Los Patios
Norte de santander,Ocaña
Norte de santander,Bucarasica
Valle del cauca,Yotoco
Valle del cauca,Palmira
Valle del cauca,Riofrío
Norte de santander,Santiago
Valle del cauca,Alcalá
Valle del cauca,Versalles
Norte de santander,Labateca
Norte de santander,Cachirá
Norte de santander,Villa Caro
Norte de santander,Durania
Valle del cauca,El Águila
Valle del cauca,Toro
Valle del cauca,Candelaria
Valle del cauca,La Cumbre
Valle del cauca,Ulloa
Valle del cauca,Trujillo
Valle del cauca,Vijes
Santander,Chimá
Sucre,Sampués
Casanare,Nunchía
Norte de santander,Pamplona
Cundinamarca,Albán
Cordoba,Montelíbano
Putumayo,Puerto Asís
Sucre,Corozal
Nariño,Buesaco
Casanare,Maní
Bolivar,El Peñón
Valle del cauca,Tuluá
Tolima,Casabianca
Cundinamarca,Anolaima
Cundinamarca,Chía
Nariño,San Andrés de Tumaco
Caqueta,Milán
Santander,Capitanejo
Tolima,Anzoátegui
Valle del cauca,Florida
Atlantico,Repelón
Antioquia,Frontino
Cundinamarca,El Peñón
Norte de santander,Pamplonita
Amazonas,Miriti Paraná
Casanare,Támara
Boyaca,Tibasosa
Cauca,Páez
Tolima,Ibagué
Atlantico,Puerto Colombia
Nariño,Belén
Cundinamarca,Sopó
Choco,Carmen del Darien
Cundinamarca,Gama
Cundinamarca,Sasaima
Nariño,Chachagüí
Norte de santander,Cúcuta
Bolivar,Cartagena
Antioquia,Granada
Magdalena,Santa Bárbara de Pinto
Bolivar,María la Baja
Caqueta,La Montañita
Caqueta,San Vicente del Caguán
Santander,El Peñón
Antioquia,Jardín
Valle del cauca,Jamundí
Choco,Tadó
Casanare,Orocué
Tolima,Líbano
Cundinamarca,Yacopí
Quindio,Calarcá
Antioquia,Sonsón
Norte de santander,El Carmen
Tolima,Lérida
Cordoba,La Apartada
Bolivar,San Cristóbal
Cundinamarca,Fusagasugá
Bolivar,Zambrano
Boyaca,La Uvita
Cundinamarca,Zipaquirá
Quindio,Génova
Tolima,Suárez
Meta,Castilla la Nueva
Boyaca,Belén
Choco,Unión Panamericana
Magdalena,Pueblo Viejo
Putumayo,Villagarzón
Cundinamarca,Facatativá
Cordoba,Puerto Libertador
Caldas,Marquetalia
Nariño,Arboleda
Valle del cauca,Buenaventura
Magdalena,Ciénaga
Atlantico,Ponedera
Valle del cauca,Santiago de Cali
